date,0
2011-02-01,0.0007124445836222199
2011-02-02,-0.0002679484196175146
2011-02-03,-0.0011571635401373525
2011-02-04,0.0007216306915691842
2011-02-07,-0.000850896338422993
2011-02-08,-0.0007424195123064141
2011-02-09,0.0003918278302416468
2011-02-10,0.0017982128057063612
2011-02-11,0.0013475202177079264
2011-02-14,0.0011232844516017558
2011-02-15,-0.0016914882965789017
2011-02-16,0.0011862667008572915
2011-02-17,0.001612704623256994
2011-02-18,-0.0006167669735940153
2011-02-22,-0.002464370212862209
2011-02-23,-0.0003456659863557628
2011-02-24,5.177200989536768e-05
2011-02-25,-0.0005830896966961624
2011-02-28,0.00022505915428336592
2011-03-01,-0.0015000709305967445
2011-03-02,-0.0010382250760485943
2011-03-03,-8.520157245297161e-05
2011-03-04,-0.0006226225055686108
2011-03-07,-0.00011173953084094567
2011-03-08,-0.001550300580523895
2011-03-09,-0.001541694315434169
2011-03-10,-0.0016301798994736141
2011-03-11,-0.0005936362658855517
2011-03-14,0.0004986720725496547
2011-03-15,-0.00026253343289720226
2011-03-16,-0.0006029425666381246
2011-03-17,0.0007638946297138481
2011-03-18,-0.0009241691122617641
2011-03-21,0.00100166079463087
2011-03-22,-0.0007929571882888184
2011-03-23,0.00036784102706865384
2011-03-24,0.0017814652239208921
2011-03-25,-0.0005976008837504755
2011-03-28,0.000735390324568382
2011-03-29,-0.00017388559076386443
2011-03-30,-0.0009670233134830108
2011-03-31,0.0003482662097273127
2011-04-01,6.942945837790774e-14
2011-04-04,3.318263481162801e-14
2011-04-05,1.7122745831320768e-14
2011-04-06,-5.870356382092613e-15
2011-04-07,3.4812894444655713e-14
2011-04-08,-1.8370855126843393e-14
2011-04-11,1.951646778522411e-14
2011-04-12,6.1338989442625996e-15
2011-04-13,-1.9332131647887542e-14
2011-04-14,3.481316121080258e-14
2011-04-15,1.428228254916219e-13
2011-04-18,-2.785517980163193e-14
2011-04-19,-1.654124345527226e-14
2011-04-20,-2.3400461275622395e-14
2011-04-21,-2.2664557819003304e-14
2011-04-25,-4.477925813701487e-14
2011-04-26,1.6974178181775036e-15
2011-04-27,4.976084653840458e-14
2011-04-28,1.0871927016242531e-14
2011-04-29,-5.6341684822647353e-14
2011-06-01,2.123394910134396e-13
2011-06-02,-7.647764739136041e-14
2011-06-03,8.878708147688697e-14
2011-06-06,4.4873102610179094e-14
2011-06-07,4.691750886763128e-14
2011-06-08,1.2618100854688828e-13
2011-06-09,5.784288791549098e-14
2011-06-10,5.2781759584452854e-14
2011-06-13,4.962716684922654e-14
2011-06-14,-3.006732582678414e-14
2011-06-15,5.162768998925813e-14
2011-06-16,1.0479328215352578e-13
2011-06-17,1.4914201769443897e-13
2011-06-20,3.441037559243911e-14
2011-06-21,-7.413316500065847e-14
2011-06-22,1.0576129814144519e-13
2011-06-23,-2.103467427511783e-13
