,AAPL,ABBV,ABT,ADBE,AMD,AMGN,AMZN,AVGO,BAC,BRK-B,CMCSA,COST,CRM,CSCO,CVX,GOOGL,HD,HON,INTC,INTU,JPM,KO,LIN,LLY,LOW,MA,MCD,META,MRK,MS,MSFT,NEE,NFLX,NKE,NVDA,ORCL,PEP,PFE,PG,PM,QCOM,RTX,SPY,TMO,TXN,UNH,UNP,UPS,V,WMT,XOM
2011-01-31,0.020000000107910115,,-0.020000000089898846,,,,,,,,,,,-0.02000000006101458,,,,,,,,,,,,-0.020000000070045626,,,,,,,0.02000000001870272,,0.02000000018640249,,,,,,,,,,,,,,-0.02000000012436614,,0.02000000003231071
2011-02-28,,,-0.02000000009383924,,,-0.02000000006861009,,,,,,,,,,,,,,,,,,,,,,,-0.020000000079566455,,,,,,0.020000000122122698,,,,,,0.020000000034515283,,,,,,,,,,0.020000000085322617
2011-03-31,-1.1472843205240427e-12,,,,,,,,,,,1.31094247933416e-12,,,,-1.2656893771836872e-12,,,-1.1546235552467856e-12,1.2308268699143376e-12,,,,,,,,,,,,,,,,,,,,,,,,1.0258366144587512e-12,,,,,,,
2011-05-31,,,,,,,,,,,,,,-1.6550418788849229e-12,,,,,-3.214809172479836e-12,3.670904615057027e-12,,2.794520124740518e-12,,,,,2.044142236414339e-12,,,,,,,,-3.6217965862505427e-12,,,,,,,,,,,,,,,,
2011-06-30,,,,-1.1044237466354875e-12,,,,,-1.8382567134070346e-12,,,1.2665561247646152e-12,,,,,,,,,,4.8724044978287215e-12,,,,,3.0450098228096282e-12,,,,,,,,-5.981231987178181e-12,,,,,,,,,,,,,,,,
2011-08-31,,,,,,,,,-3.5539529045669032e-12,,,2.0786543660767394e-12,,-2.120366567311907e-12,,,,,,,,5.590973657830248e-12,,,,,,,-1.7983019460337536e-12,,,,,,,,,,,,,,,,7.49636132345464e-13,,,,,,
2011-09-30,,,,,,,,,-4.530066469993542e-12,,1.6788989147019629e-12,,,-3.2798140883726936e-12,,,,,,,,7.164897092881855e-12,,,,,1.3709146654273713e-12,,-2.818425225752126e-12,,,,,,,,,,,,,,,,,,,,,,
2011-10-31,,,,,,,,,-5.121811756579939e-12,,,1.8404108850687687e-12,,-4.611752583760416e-12,,,,,,,,8.659805661198903e-12,,,,,,,-3.4936467715558303e-12,,,,,,1.960959330477231e-12,,,,,,,,,,,,,,,,
2011-11-30,,,1.7069906789481056e-12,,,,-9.482450293806898e-13,,-5.902627724076338e-12,,,3.752543286943138e-12,,,,-9.010299889829853e-13,,,,,,,,1.5739766291856347e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-01-31,-2.6452407334567805e-12,,3.6180098253213954e-12,,,,,,,,,,2.470291498406198e-12,-2.441124401898637e-12,,-2.7524237154131445e-12,,,,,,,,,,,,,,,-2.247447223302609e-12,,2.238641262905673e-12,,,,,,,1.9136937794215214e-12,,,,,,,,,,,
2012-02-29,-4.860285339209064e-12,,5.168825971008066e-12,,,,,,,,,,,-4.37177180035542e-12,,-4.195511519368305e-12,,,,,,,,1.7011728568589208e-12,,,,,,,,,5.7072516172945126e-12,,,,,,,,,,,1.844295814734662e-12,,,,,-1.3450059870213502e-12,,
2012-04-30,-7.374159203879923e-12,,,,-1.198033914891157e-12,,,,-2.7811872515712124e-12,,,,-1.9140092143873586e-12,,,,,,,,,2.5337860573396285e-12,,4.375363785354704e-12,,,3.373381472719702e-12,,,,,2.4460019427532534e-12,,,,,,,,,,,,,,,,,,,
2012-05-31,,,,,,,,2.16429790530822e-12,-4.264310053760188e-12,,,1.559258435522905e-12,-3.00586022434058e-12,,,,,,,,-1.7867614694760792e-12,,,,-1.9017804938443504e-12,,5.5438012203274875e-12,,,,,,,,,,,,,,,,,,,,,,,1.4572915700998007e-12,
2012-07-31,-1.2295619937754118e-12,,,,,,-1.3253551613500384e-12,,-5.911357765588613e-12,,,,-3.824030223970226e-12,2.056856029867238e-12,,,,,,,,,,,,,7.073965230393524e-12,,,,,,,,,,,,1.406112842748069e-12,,1.4450694047234524e-12,,,,,,,,,,
2012-08-31,,,,,,,-2.9808703586599847e-12,-1.2929548162775761e-12,-7.205702734897736e-12,,,,-4.908131291304488e-12,3.859588563087187e-12,,,,,,,,,,,1.7871735935038978e-12,,8.538877569916548e-12,,,,,,,1.857324239468568e-12,,,,,,,,,,,,,,,,,
2012-10-31,,,,,2.5759081985836736e-12,,-3.886299843918616e-12,,,,1.853021227579805e-12,,-5.321745407550183e-12,,,-4.3673605824692013e-13,,,,,,,,,,,,,,-2.355538429707539e-13,,2.184330152031943e-12,,,,,,,,,,,,,,,,1.8501722018724704e-12,,,
2012-11-30,8.98847745766659e-13,,,,4.0486416677289824e-12,,-5.073872105147382e-12,,,,,,,,,-1.2732747308569904e-12,,,,,,5.396837432627141e-13,,,,,,,,-1.073849894297917e-12,,3.1217982341027313e-12,,,,-1.1491098170855038e-12,,,,,,,,,,,,,,,
2012-12-31,1.9663759518104266e-12,,,,5.558421382261053e-12,,-6.20560186838091e-12,,,,,,1.111558110453465e-12,,,-2.103734232503359e-12,,,,,,,,-9.491813173630832e-13,,,,,,,,,9.73476691793839e-13,,,,,,,,,,,,,,,,,-6.025524230235225e-13,
2013-01-31,,,1.7132818493001883e-13,,6.961523181333556e-12,,,,-2.009331973852906e-12,,,,,-1.5078357339926219e-12,,,,,,,-1.4375294886361985e-12,,,,,,,,,-1.6182597990707905e-12,,2.8727562711909447e-13,,,,,,,,,,,,,,1.5208375172475853e-13,,,,,
2013-02-28,,,,,,1.2765095343106395e-12,,,-1.890647803695939e-12,1.3008219404949621e-12,,,,-1.5496440682120791e-12,,,,,,,,,,,,,,,,-1.8107043670381871e-12,,1.704633506315354e-12,-1.5007820006989599e-12,,,,1.5995238233625205e-12,,,,,,,,,,,,,,
2013-04-30,,,,,1.3721569717416875e-12,,,,-3.2052451400545223e-12,,,,,,,,,,,,-8.752187679052016e-13,,,,-1.219160573292733e-12,,,,,,,2.1981403284990054e-12,,,7.969651379553736e-13,,2.1808758680390812e-12,,,,,,,,,-9.944794556436517e-13,,,,,
2013-05-31,,,,,1.8406000884048016e-12,5.752082692145547e-13,,6.174441896170289e-13,,,,,,,,,,,-5.507816510248802e-13,,,,,,,,,-6.654569261164127e-13,,,,,-2.140625869911572e-12,-4.5163493591348186e-13,1.165437966967665e-12,,,,,,,,,,,,,,,,
