,AAPL,ABBV,ABT,ADBE,AMD,AMGN,AMZN,AVGO,BAC,BRK-B,CMCSA,COST,CRM,CSCO,CVX,GOOGL,HD,HON,INTC,INTU,JPM,KO,LIN,LLY,LOW,MA,MCD,META,MRK,MS,MSFT,NEE,NFLX,NKE,NVDA,ORCL,PEP,PFE,PG,PM,QCOM,RTX,SPY,TMO,TXN,UNH,UNP,UPS,V,WMT,XOM
2013-07-31,,,,,,,,,5.786707923463419e-13,,,,9.867109773966624e-13,,,,,,-1.310047723876793e-12,,,,,,6.549414166759676e-13,,-5.738576875222533e-13,8.042458147651379e-13,,,-7.145267264627913e-13,,,,,,,,,,,,,,,,,-6.438735693143213e-13,,,
2013-09-30,,,,,9.618329630967923e-13,,,4.883222535765714e-13,,,,,,,,-9.682637416618628e-13,,,,,,,,,,,,2.1847406104714096e-12,,3.28722620855488e-13,,,,,,,,,,,,,-9.746600078975305e-13,,,,,,,-8.335883141690996e-13,-1.0322300732507347e-12
2013-10-31,,,,,,,9.26965701405632e-13,,,,,,,,,-3.1264284832801117e-15,,,,,,,,,,,,,-7.637694450379068e-13,9.933005590337874e-13,,,1.7785140019020832e-12,,,,,,,,,,,,,-6.409578691113448e-13,,,,-1.3464174811709103e-12,-1.3938572789538566e-12
2013-12-31,-1.2397963296463055e-12,,,,5.977080060200112e-13,6.256531357574748e-13,,5.887662895703733e-13,-9.067918589779316e-13,,,,,,-7.335279278968957e-13,,,,,,,,,,,,,,,,,,3.4094737042672133e-12,,,,,,,,,,,,,,,,,,-2.2675029484787877e-12
2014-01-31,,,,,1.2489306309386997e-10,3.7023025578373047e-11,,,,,,,4.06190177705161e-11,,-9.105137816907868e-11,,,,,,,,,,,-8.44193892190603e-11,-8.203189045473587e-11,,,,4.6564948157843967e-11,,2.337722373865233e-10,,,,,,,,,,-9.147619995618084e-11,,,,,,,,-1.338637344585344e-10
2014-02-28,,,,,1.1921283149545702e-10,,,-7.232336536650958e-12,,,,,,,-9.99780119077087e-11,,,,,,,,,,,,-9.12697441076831e-11,-7.430046638106429e-12,,,,,2.2686179259026006e-10,,-7.502939201964003e-12,,-8.920738805966669e-12,,,,,,-1.00478890669405e-10,,,,,,,-8.951293449625462e-12,
2014-03-31,,,,,1.0962140419837566e-10,,,-1.855807209533748e-11,,,,,,,,,,,,,,,,,,,-1.0368944922079537e-10,,,,-1.1211362659600288e-11,,2.1552449710522022e-10,-1.2483859661457933e-11,,,,,,,,,-1.1308792964346148e-10,,,-1.1379117338007169e-11,,-1.2374916833715806e-11,,-2.1314821078347193e-11,
2014-04-30,-5.7692583778987566e-12,,,,1.0507170761473159e-10,,,,,,,,-6.2207905060438716e-12,,,,,,,,,,,,,,-1.1073029551868165e-10,-5.527820054481223e-12,,,,,2.1000095379587464e-10,,,,-7.115229508520818e-12,,,,,,-1.2037436609947322e-10,,,,,-1.9493209269445224e-11,,-2.8450577619317666e-11,
2014-06-30,,,,-4.331326317463248e-12,1.021134810902371e-10,,,,,,,,-9.523437016424577e-12,,,,,,,,,,,,,,-1.1611736919383802e-10,-8.304853979036607e-12,,,,,2.0639216503446735e-10,,,,,,,-5.358743744276953e-12,,,-1.2618887902549555e-10,,,,-5.674698910727486e-12,-2.4980852617667484e-11,,,
2014-07-31,,,,,8.967828259260169e-11,,-1.3435740696584362e-11,,,,,,-2.2009295673528806e-11,,-1.528924510729227e-11,,,,-1.5255184703208698e-11,,,-1.5228829004050776e-11,,,,,,-2.0566125486911255e-11,,,,,1.9368807667570516e-10,,,,-1.4915106642469043e-11,,,,,,-1.4170920818906139e-10,,,,,,,,
2014-09-30,,,,,8.406704641840975e-11,,-1.9977100028008696e-11,,,-8.228301524926767e-12,,-8.160526747220327e-12,-2.8616744594339566e-11,,,,,,,,,,,,,,,-2.6753618408274933e-11,,,,,1.871263024844708e-10,,,,,,-8.082370992485742e-12,,,,-1.500917705125323e-10,,,,-8.207616697668364e-12,,,,
2014-10-31,,,,-1.8152933053786783e-11,6.75538804257138e-11,,,-1.78027548859126e-11,,,,-2.8888999529006517e-11,-4.649057086422023e-11,,,,,,,,,-2.0776480967039207e-11,,,,,,,,,,,1.6922264705941625e-10,,,,-2.068691176296459e-11,,-2.875471583418553e-11,,,,,,,,,,,-2.1008811990734675e-11,
2014-12-31,,,,,5.886747731748771e-11,,,-2.7729238940105468e-11,,,,,-5.598657469183777e-11,,,,,,,,,,,,,,-1.1399441856433732e-11,-9.64609163838724e-12,,,,,1.6045365585419279e-10,,,,,,-4.012223111981522e-11,,,,-1.1911779436509528e-11,,,,,-1.1478311849506296e-11,,-3.238318478490639e-11,
2015-03-31,,-5.6647039012921394e-12,,,5.4137127085585795e-11,,,-3.2983102847187914e-11,,,,,-6.125261197919993e-11,,,,,,,,,,,,,,-1.8294853861963902e-11,,,,,,1.5522320064321212e-10,,,,-6.826774421490643e-12,,-4.700375541708481e-11,-6.836406356337912e-12,,,-1.949440625593217e-11,,,,,,,,
2015-04-30,,,,,5.2952748345375356e-11,,-2.621325970879126e-12,-3.561220145657141e-11,,-4.921518879940543e-12,,-4.8077438174591716e-12,-6.389729987230653e-11,,,,,,,,,,,,,,,,,,,,1.5392298436215473e-10,,,,-1.171311495349142e-11,,-5.204502189005443e-11,,,,-2.493116428392883e-11,,,,,,,,
2015-06-30,,,,,5.3707223693549366e-11,,-2.449668745302476e-12,-3.551709135450936e-11,,-7.1269789910101985e-12,,,-6.373241137932954e-11,,,,,,,,,,,,,,,,,,,,1.5504391197979903e-10,,,,-1.405323901894146e-11,-2.229247881869366e-12,-5.439778604127974e-11,,,,-2.7555652598637977e-11,,,,,,,,
2015-07-31,,,,,2.8462361641855625e-10,,6.713807845768931e-11,9.21805843534668e-11,,,,-1.3605532927207284e-10,9.627243207381973e-12,,,,,,,,,,,,,,,,,,,,3.9938634030336615e-10,,,,-1.5498756859985268e-10,-1.4173668935220008e-10,-2.0715737662503194e-10,,,,-2.128661119360489e-10,,,,,,,,
2015-08-31,,-1.5567310317023108e-11,,,4.1654316302688796e-10,,,1.49557934424862e-10,,-8.646791679528286e-11,,,2.67096020665144e-11,,,,,,,,,-8.485974389774378e-11,,,,,,,,,,,4.6323905545931563e-10,,,,-2.408510183053794e-10,,-2.941953106818018e-10,,,,-3.340449953664641e-10,,,,,,,,
2015-09-30,,,,,5.512014180352924e-10,,-9.995571602659003e-12,1.60850761754802e-10,,,,-1.0920498097540573e-10,1.9482795473028427e-11,,,,,,,,,-2.016221376414674e-10,,,,,-1.1171849419704863e-10,,,,,,5.556302124392812e-10,,,,-3.6101158841446783e-10,,,,,,-4.935292778535596e-10,,,,,,,,
2015-11-30,,,,,7.003982123263393e-10,,,2.158847660825596e-10,,-9.572558180816528e-11,,,2.03990595353235e-11,,,,,,,,,-3.040847347466763e-10,,,,,,,,,,,6.448271971319433e-10,,2.1071172992320203e-11,,-4.603946056709413e-10,,-1.0940907375097342e-10,,,,-6.329198868972468e-10,,,,,,,,
2015-12-31,,,,,7.148626595379881e-10,,1.2583385839200978e-11,,,,,,3.2998556999445223e-11,,,,,,,,,-2.9333664799129896e-10,,,,,,,,,,,6.587017967681359e-10,,,,-4.494817083813241e-10,,-9.864926667670084e-11,,1.2687421801149469e-11,,-6.22616019480061e-10,,,,,,,1.0842694479669742e-11,
2016-02-29,,,,,7.239803108781692e-10,,1.9940406191170745e-11,7.088666476074258e-12,,,,,,,,,,,,,,-2.879850365695671e-10,,,,,,,,,,5.425865501710134e-12,6.6742948133889e-10,,7.22746246391889e-12,,-4.4402624591783163e-10,,-9.334873243840982e-11,,,,-6.175494971891891e-10,,,,,,,,
2016-03-31,,,,,6.8432964417715e-10,,-2.135417282860503e-11,,,,,,,-4.458888457297878e-11,,,,,,,,-3.3299912194755865e-10,,-4.17942119795588e-11,,,,,,-4.202767970018235e-11,,,6.265433809953719e-10,,,,,,,-4.4545487844162976e-11,,,-6.630086084433379e-10,,,,,-4.4601623759483854e-11,,,
2016-05-31,,,,,8.414093537494911e-10,,,1.3214489577553628e-11,,,,,,,,,,,,-1.0135548747517863e-11,,-4.109506101337483e-10,,,,,,,,,,,6.554022595800389e-10,,2.3243547169321804e-11,,-8.737356648259646e-11,-1.0019153400777148e-10,,,,,-7.939293294065516e-10,,,,,-1.306415967335622e-10,,,
2016-06-30,,2.4875399557752903e-11,,,9.703797933131626e-10,,,2.4972029257986137e-11,,,,,,,,,,,,,,-4.935493574362296e-10,,,,,-7.334102065832959e-11,,,,,,6.705966587944658e-10,,2.947439362966486e-11,,-1.6935348020218546e-10,,,-8.368582994795988e-11,,,-9.00290384284544e-10,,,,,,,,
2016-08-31,,1.9444836969020855e-11,,,1.0823977593196649e-09,,,,,,,,,,,,,,,,,,,,,,-1.7646476702508931e-10,,,,,,6.676414763527651e-10,,2.325897314465989e-11,,-2.6707603085915783e-10,,-1.2268954779873332e-10,-1.8357978521695647e-10,-1.0942595911722568e-12,,-1.0417045765361592e-09,,,,,,,,
2016-09-30,,,,,1.315166794067044e-09,,,,,,,,2.3331741860114988e-11,,,,,,,,,,,,,,-2.3379696722750106e-10,,,2.8050372614889188e-11,,,7.048357493738399e-10,,7.285404856296768e-11,,-3.2445854566814787e-10,,-2.1886923911990787e-10,-2.3950046714646907e-10,,,-1.1276647872192763e-09,,,,,,,,
2016-10-31,,,,,1.8771240616397107e-09,,,,,,,,9.465550647657954e-12,,,,,,,,,,,,,,,,,4.1999284143486327e-11,,-2.3224816544723065e-10,6.99009823446238e-10,,9.527130706246017e-11,,,,-4.860389627421277e-10,-4.3677864837578894e-10,,,-1.356605077755088e-09,,,,,,,-2.1116447025901644e-10,
2016-11-30,,,,,2.238675353286554e-09,,,,,-2.35684809525162e-10,,,,,,,,,,,,,,-5.6482107873578436e-11,,,-2.3074078875037584e-10,,,1.9301414284088218e-11,,,6.896187271129266e-10,,1.8855497196313394e-10,,,,-7.19256121296938e-10,,,,-1.643488874875194e-09,,,-2.5041417773228505e-10,,,,,
2017-01-31,,,,,2.4257415366284116e-09,,,,,-4.5906346276746165e-10,-2.1722787080149925e-10,,,-1.882853576654684e-10,,,,,,,,,,,,,,,,-3.849402680586075e-11,,,6.636032953848722e-10,,2.691556118924598e-10,,,,,,-7.450228501570982e-11,,-1.931994714840015e-09,,,-4.4891738063623667e-10,,,,,
2017-02-28,,,,,2.5739362578382385e-09,,,,,-5.941922343845585e-10,-3.4420437824082763e-10,,,-3.2114042786602477e-10,-1.2905158229934442e-10,,,,,,,,,,,,,,,-6.743739556883632e-11,,,7.25939283965484e-10,,3.9300497496759874e-10,,,,,,-1.0134080166567906e-10,,-2.1354107440099745e-09,,,,,,,,
2017-03-31,,,,,2.6864361096785757e-09,,-2.3014921751760047e-10,,-7.830357037915877e-11,,-5.751211227908296e-10,,,,,,,,,,,,,,,,,,,-1.5132833900698935e-10,,,7.741930511490737e-10,,4.496855576959683e-10,,-2.0415793709328797e-10,-2.2785087086046894e-10,,,,,-2.4433870593310896e-09,,,,,,,,
2017-05-31,-1.6418721596651304e-10,,,,2.855087133191065e-09,,,,-8.756851914797756e-11,,-7.381432178273493e-10,,,,,,,,,,,,,,,,,,,-1.947823943356078e-10,,,9.073920049462314e-10,,6.173820666730916e-10,,-3.7067152685491726e-10,,-1.4106888554379123e-10,,,,-2.683398204710721e-09,,,,,,,,
2017-06-30,,,,,2.730567206686154e-09,,,-1.3963739983811622e-10,,,,,-1.3891645309833995e-10,,,-1.5826811546056524e-10,,,,,,,,,,-1.5692593206402722e-10,,-1.5723549666484575e-10,,,-1.5916034062161743e-10,,7.691619460117311e-10,,4.929977030150955e-10,,,,,,,,-2.854938790631224e-09,,,,,,,,
2017-07-31,,,,,2.82857409617249e-09,-3.6502852858199596e-11,,-1.5398292501860264e-10,,-1.9818184828300195e-10,,,,,-1.7105802058292862e-10,,,,,,-1.7310779009002125e-10,,,,,,,,,,-3.3874274854838163e-10,,7.409229606214004e-10,,6.001690803258424e-10,,,,,,,,-3.0980771637229835e-09,,,,,,,,
2017-08-31,,,,,2.9309471746923335e-09,,,-7.888137542597152e-11,,-3.097089564595679e-10,,,8.584767216237986e-11,,-2.672617070560335e-10,,,,,,-2.844452147332743e-10,,,,,,,,,,-4.4247163133364417e-10,,8.324650952202224e-10,,7.999409710884727e-10,,,,,,,,-3.266377395092686e-09,,,,,,,,
2017-10-31,,7.824190596747212e-12,,,2.9689539353687427e-09,,,,,-4.814466825462804e-10,,,,,,,-1.4563687715378092e-10,-1.673118589502248e-10,,,-4.5917949803874697e-10,,,,,,,,,,,,8.502665392544388e-10,,9.951646399246005e-10,,,,,,-2.1816189266179017e-11,,-3.5466842052404974e-09,,,,,,,,
2017-11-30,,,,,3.017068072721572e-09,,,,,,,,,,,,-3.3068063129144995e-10,-3.816402755255915e-10,,,,,,,,,,,,-6.207802777105115e-11,,-1.4876429508182477e-10,8.601221395340763e-10,,1.11506559035782e-09,,-1.7497042190046591e-10,,,,-3.5324571925548895e-11,,-3.858704720288874e-09,,,,,,,,
2018-01-31,,-7.423152818820211e-11,,,2.9421196435822767e-09,,,,,,,,,,,,,,,,,-8.078034577593742e-11,,,,,,,,,,,7.843307758885936e-10,,1.0406764730467607e-09,,-2.5569435900686174e-10,,,-8.137842934435179e-11,-1.1052157855046164e-10,-8.177065926927003e-11,-3.945380326319711e-09,,,,,,,,
2018-02-28,,-1.1963235226292643e-10,,,2.8969784995404565e-09,,,,,,,,,,,,,-4.929632907398213e-11,,,,-1.3008898620188709e-10,,,,,-4.887828610964921e-11,,,,,-4.8346029900207906e-11,7.395213653165467e-10,,9.957611091414722e-10,,,,,,-1.5620476734996893e-10,,-3.996269865448461e-09,,,,,,,,
2018-04-30,,-1.4188613076554825e-10,,,2.874727729108359e-09,,-2.318488857403845e-11,,,,,,,,,,,,,,,-1.5679786352451805e-10,,,,,-7.52945228503565e-11,,,,,-7.467714979354237e-11,7.173402265835313e-10,,9.730529498164054e-10,,,,-2.6096935315636474e-11,,,,-4.023904513674742e-09,,,,,,,,
2018-05-31,,,,2.0885337060606407e-10,,,1.8407427989969952e-10,,,,,,,,1.9275381383601845e-10,,,1.9287310566500247e-10,2.0853313956319087e-10,,,,,,,,,,,,,,9.3943252799319e-10,,1.1844792859295153e-09,,,1.9320330077842158e-10,,,,,-3.833829226600918e-09,,,,,,,,1.9303301391285474e-10
2018-07-31,,,,,1.2282292847775487e-10,,,,,,,,,,,,1.0677048600881717e-10,,3.2216332484822547e-10,,,1.0718301513242004e-10,,,1.1383631724509897e-10,,,,,,,,1.0599157083248014e-09,,1.2982328278951713e-09,,1.0697747956252231e-10,2.996877357090929e-10,,,,,-3.728841813441582e-09,,,,,,,,
2018-08-31,,,,,5.084893292670414e-10,,,1.3887063937391593e-10,-4.3290346344786695e-11,,,,,,,,6.954159587839132e-11,,,,-4.5857002686671525e-11,,,,,,,1.4368545104365822e-10,,,,,1.3881724874768757e-09,,1.4115527288551757e-09,,,2.599410621433905e-10,,,,,-3.8311179755652295e-09,,,,,,,,
2018-10-31,,,,1.440341967447117e-10,7.197188080168161e-10,,,,,,,1.350034554957683e-10,1.4405735229807992e-10,1.3475649029075322e-10,,,,,,,8.958744037312545e-11,,,,,,,,,,,,,,1.559175268297334e-09,,,3.950737612148645e-10,,,,,-3.6991120471407285e-09,,,,,1.5039706635103934e-10,,,
2018-11-30,,,,,1.2303457359836819e-09,,2.0367243293376303e-10,2.3825885674140754e-10,,,,,,,,,,,,,2.946004514845637e-10,,,,2.334038849214165e-10,,,,,,,2.044238078427114e-10,2.0395112265605356e-10,,,,,,,,2.505275376806331e-10,,-3.4997187401106157e-09,,,,,3.8428686010528106e-10,,,
2018-12-31,,,,,1.378912460390629e-09,,3.3474058032744805e-10,,,,1.3993013818389972e-10,,,1.3250266357995093e-10,,,,,,,,,,,,,,,,,1.3267766452308717e-10,,3.3667795452287277e-10,,,,,,,1.4425132364262203e-10,3.937624236628678e-10,,-3.369036134045249e-09,,,,,,,1.403227501244233e-10,
2019-01-31,4.3062108648810926e-11,,,,1.7206491274546655e-09,,,,,,3.5784523549945086e-10,,,,,,,,,,,,,,,,,3.947504064032942e-11,,,,4.8854301447209246e-11,3.7268530923247666e-10,,,,,,,3.473691742386691e-10,,,-3.3698564627711826e-09,,,,,1.4279272146667056e-10,,2.970811705876735e-10,
2019-02-28,1.1151031168630828e-10,7.396612986273824e-11,,,1.7983093608440956e-09,,,7.338582164154346e-11,,,4.301000339845486e-10,,,,,,,,,,,,,,,,,1.080595714810058e-10,,,,,4.406858590805492e-10,,,,,,,,7.186554127054376e-11,,-3.3024499578466037e-09,,,,,,,,6.86853254341798e-11
2019-04-30,1.7610988050509932e-10,,,,1.8715532378759513e-09,,,1.4592345695799147e-10,,,,,6.994825527938583e-11,,,,,,7.192469474909439e-11,,,6.629831455470302e-11,,,,,,,,,,,5.125027999184394e-10,,,,6.62913589135548e-11,,,,1.3678782385898136e-10,,-3.237307133469307e-09,,,,,,,,
2019-05-31,,,,,,,,4.2245524406835684e-10,,,,,,,,,2.436948601968213e-10,,3.37539122699799e-10,2.6019125357066785e-10,2.422003630606262e-10,3.1024394770419844e-10,,,,,,2.5879044277953235e-10,,,,,,,2.5809713205587904e-10,,,2.427762415895808e-10,,,,,-2.996321316424314e-09,,,,,,,,
2019-07-31,2.449869464748344e-10,2.649990546613304e-10,,,2.751381275225799e-10,,,,,,,,2.6531683324984654e-10,,,,,,,,,,,,,,2.458447691963326e-10,,2.469245203888097e-10,,,,2.750494099192733e-10,,,,,,2.4604211438516396e-10,,2.6208729896073875e-10,,-2.751656359057373e-09,,,,,,,,
2019-09-30,,,,1.6967478753379167e-10,4.624159270842449e-10,1.6206348712748227e-10,,,,,,,,,,,,,,1.70151466965163e-10,,,,,,,4.087923991356504e-10,,,,,1.6204493749479451e-10,,,1.7047269964064887e-10,,,,,,4.3688057863297624e-10,,-2.59017240906712e-09,,,,,,,1.6240303520487134e-10,
2019-10-31,,,,2.5748884874731086e-10,5.526190551209659e-10,,,,8.374130095428472e-11,,,,,,,,,,8.374569657224724e-11,2.5943141135193627e-10,8.376132254898079e-11,,,,,,,,,,,2.45976605075266e-10,,,2.5825076907541875e-10,,,,,,5.298162485711882e-10,,-2.5069003402213423e-09,,,,,,,,
2019-12-31,6.844267004680931e-11,,,3.262538803902684e-10,6.242469695864919e-10,,,,,,,,,,,,,,,,1.5266699709298854e-10,,,,,,,,,,6.880354371963127e-11,,,,3.295403351774308e-10,,,7.156154827016309e-11,,,6.016798000459585e-10,,-2.439112425523407e-09,,,,,7.148131092162054e-11,,,
2020-01-31,,,,,6.880586363579807e-10,,,6.530128548399453e-11,,,,,,,,,,,,,,,,6.12411134818556e-11,,,6.175815954690881e-11,,,,1.3000328058571646e-10,6.143116224755764e-11,,,3.934324624857499e-10,,,,,,6.673076757726191e-10,,-2.3778485229617512e-09,,,,,1.3739839779667335e-10,,,
2020-03-31,,,,,5.760610992873855e-10,,-1.2161331873731816e-10,,,,,-1.1927291994187846e-10,,,-1.1182779388077349e-10,,,,,,,,,,-1.1197380681590984e-10,,,,-1.177837028400947e-10,-1.1159488997709462e-10,,,,,,,,-1.1758877368052786e-10,,,5.555597296740833e-10,,,,,,,,,-1.201338780997806e-10,
2020-04-30,,,,,,4.811961925624949e-11,-7.388241384350222e-11,,5.232333821115978e-11,,,-7.081929864267002e-11,,,,,,,,,5.2118495015239853e-11,,,,,,,,-6.94987256571051e-11,-5.907305842932901e-11,,,,,5.217073619966734e-11,,,,,,,5.2143640451146867e-11,,,,,,,,-7.208447048064492e-11,
2020-06-30,-5.2725449718225655e-12,-5.524364732948065e-12,,,-2.4716990931167146e-12,,,,,,,,,,-3.7546378993451406e-12,-5.406560049203897e-12,,,-3.883496540115672e-12,,,-5.236126857247948e-12,,,,,,,,,,,,,4.851303929146372e-11,,,,,,,,-5.354801295703447e-12,,,-3.658711352508687e-12,,,,,
2020-07-31,,,,,,,-4.305129173032061e-12,,-2.7816485869487374e-12,,,-4.537775506751072e-12,,,-5.8358872260600345e-12,,,,-6.219067470608247e-12,,,,,,,,,,,,,,,,4.595145794131704e-11,,,,-4.444329407224591e-12,,,-2.554555089217704e-12,,,,,,-4.7047905774190325e-12,,-4.345596368964266e-12,
2020-08-31,,,,,,,,,,-2.7955413938958126e-12,,-7.234806549960889e-12,,,-6.815677464773207e-12,,,,-7.289541227609045e-12,,,,,,,,,,-2.6534392948597204e-12,-1.0523210984945334e-12,,,,,4.499451805578089e-11,,,-2.8191943968222758e-12,,,,-3.85678458873825e-12,,,,,,,,-7.051682541291517e-12,
2020-09-30,,,,,-8.11061991980933e-13,,,,-1.6635909518230686e-12,-5.680414493190042e-12,,-1.022507239743452e-11,,,-7.918191195243608e-12,,,,,,,,,,,,,,-5.5127693017416746e-12,-2.635530262663988e-12,,,,-2.9015161037918514e-12,4.386435177058914e-11,,,,,,,,-2.7859932523661883e-12,,,,,,,,
2020-11-30,,-3.179881612038465e-12,,,,,,,,,,-1.3578237896408208e-11,-8.521859548407032e-13,,-8.799521899418227e-12,-3.099942576087096e-12,,,-9.088393548363866e-13,,,,,,-5.204891011873184e-13,,,,,,,,,,4.335354528433269e-11,,,,,,,,-5.6926517942326805e-12,,,,,,,-3.2397964177070942e-12,
