,AAPL,ABBV,ABT,ADBE,AMD,AMGN,AMZN,AVGO,BAC,BRK-B,CMCSA,COST,CRM,CSCO,CVX,GOOGL,HD,HON,INTC,INTU,JPM,KO,LIN,LLY,LOW,MA,MCD,META,MRK,MS,MSFT,NEE,NFLX,NKE,NVDA,ORCL,PEP,PFE,PG,PM,QCOM,RTX,SPY,TMO,TXN,UNH,UNP,UPS,V,WMT,XOM
2014-09-30,,,,,0.2,,0.2,,,-0.2,,-0.2,0.2,,,,,,,,,,,,,,,0.2,,,,,0.2,,,,,,-0.2,,,,-0.2,,,,-0.2,,,,
2014-10-31,,,,0.2,0.2,,,0.2,,,,-0.2,0.2,,,,,,,,,-0.2,,,,,,,,,,,0.2,,,,-0.2,,-0.2,,,,,,,,,,,-0.2,
2014-12-31,,,,,0.2,,,0.2,,,,,0.2,,,,,,,,,,,,,,-0.2,0.2,,,,,0.2,,,,,,-0.2,,,,-0.2,,,,,-0.2,,-0.2,
2015-03-31,,0.2,,,0.2,,,0.2,,,,,0.2,,,,,,,,,,,,,,-0.2,,,,,,0.2,,,,-0.2,,-0.2,-0.2,,,-0.2,,,,,,,,
2015-04-30,,,,,0.2,,0.2,0.2,,-0.2,,-0.2,0.2,,,,,,,,,,,,,,,,,,,,0.2,,,,-0.2,,-0.2,,,,-0.2,,,,,,,,
2015-06-30,,,,,0.2,,0.2,0.2,,-0.2,,,0.2,,,,,,,,,,,,,,,,,,,,0.2,,,,-0.2,-0.2,-0.2,,,,-0.2,,,,,,,,
2015-07-31,,,,,0.2,,0.2,0.2,,,,-0.2,0.2,,,,,,,,,,,,,,,,,,,,0.2,,,,-0.2,-0.2,-0.2,,,,-0.2,,,,,,,,
2015-08-31,,0.2,,,0.2,,,0.2,,-0.2,,,0.2,,,,,,,,,-0.2,,,,,,,,,,,0.2,,,,-0.2,,-0.2,,,,-0.2,,,,,,,,
2015-09-30,,,,,0.2,,0.2,0.2,,,,-0.2,0.2,,,,,,,,,-0.2,,,,,-0.2,,,,,,0.2,,,,-0.2,,,,,,-0.2,,,,,,,,
2015-11-30,,,,,0.2,,,0.2,,-0.2,,,0.2,,,,,,,,,-0.2,,,,,,,,,,,0.2,,0.2,,-0.2,,-0.2,,,,-0.2,,,,,,,,
2015-12-31,,,,,0.2,,0.2,,,,,,0.2,,,,,,,,,-0.2,,,,,,,,,,,0.2,,,,-0.2,,-0.2,,0.2,,-0.2,,,,,,,-0.2,
2016-02-29,,,,,0.2,,0.2,0.2,,,,,,,,,,,,,,-0.2,,,,,,,,,,-0.2,0.2,,0.2,,-0.2,,-0.2,,,,-0.2,,,,,,,,
2016-03-31,,,,,0.2,,0.2,,,,,,,-0.2,,,,,,,,-0.2,,0.2,,,,,,0.2,,,0.2,,,,,,,-0.2,,,-0.2,,,,,-0.2,,,
2016-05-31,,,,,0.2,,,0.2,,,,,,,,,,,,0.2,,-0.2,,,,,,,,,,,0.2,,0.2,,-0.2,-0.2,,,,,-0.2,,,,,-0.2,,,
2016-06-30,,0.2,,,0.2,,,0.2,,,,,,,,,,,,,,-0.2,,,,,-0.2,,,,,,0.2,,0.2,,-0.2,,,-0.2,,,-0.2,,,,,,,,
2016-08-31,,0.2,,,0.2,,,,,,,,,,,,,,,,,,,,,,-0.2,,,,,,0.2,,0.2,,-0.2,,-0.2,-0.2,0.2,,-0.2,,,,,,,,
2016-09-30,,,,,0.2,,,,,,,,0.2,,,,,,,,,,,,,,-0.2,,,0.2,,,0.2,,0.2,,-0.2,,-0.2,-0.2,,,-0.2,,,,,,,,
2016-10-31,,,,,0.2,,,,,,,,0.2,,,,,,,,,,,,,,,,,0.2,,-0.2,0.2,,0.2,,,,-0.2,-0.2,,,-0.2,,,,,,,-0.2,
2016-11-30,,,,,0.2,,,,,-0.2,,,,,,,,,,,,,,0.2,,,-0.2,,,0.2,,,0.2,,0.2,,,,-0.2,,,,-0.2,,,-0.2,,,,,
